Designator,Footprint,Quantity,Value,LCSC Part #
C1 C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,10uF,C194427
C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1,.1uF,C2180759
D1,D_SOD-123F,1,1 amp,C126484
D2,D_SOD-123,1,5.1 v,C151576
J1,PinHeader_2x03_P2.54mm_Vertical,1,I/O Connector,C3348967
J2,PinHeader_2x03_P2.54mm_Vertical,1,ISP Prog,C3348967
J3,PinHeader_1x04_P2.54mm_Vertical,1,LCD  Conn,C3338160
Q1,TO-263-2,1,"PHB21N06LT,118",C552623
R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,10M,C2653999
R2 R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,1k,C1870265
U1,SOIC-8W_5.3x5.3mm_P1.27mm,1,ATtiny85-20S,C615549
U2,TO-263-3_TabPin2,1,LM1085-5.0,C434505
